date,mdsetotal,numcust
10/27/2016,297,3818
10/28/2016,410,5078.11
10/29/2016,721,11397.77
10/30/2016,750,10204.85
10/31/2016,314,3757.84
11/1/2016,301,3519.41
11/2/2016,272,2798.62
11/3/2016,285,3455.2
11/4/2016,409,5085.32
11/5/2016,709,7748.01
11/6/2016,663,7639.16
11/7/2016,342,4079.53
11/8/2016,282,3458.25
11/9/2016,215,2708.04
11/10/2016,366,4117.79
11/11/2016,535,6524.27
11/12/2016,715,8551.9
11/13/2016,726,8373.37
11/14/2016,273,3089.82
11/15/2016,302,3476.98
11/16/2016,263,3128.05
11/17/2016,291,3455.13
11/18/2016,461,5741.72
11/19/2016,689,8060.02
11/20/2016,571,6546.21
11/21/2016,185,2294.78
11/22/2016,260,3054.16
11/23/2016,274,3213.34
11/24/2016,340,3982.54
11/25/2016,556,6459.49
11/26/2016,719,9053.75
11/27/2016,550,6338.23
11/28/2016,259,3136.19
11/29/2016,316,3854.98
11/30/2016,210,2450.36
12/1/2016,283,3200.35
12/2/2016,399,4537.13
12/3/2016,642,7496.71
12/4/2016,534,6198.53
12/5/2016,286,3288.46
12/6/2016,260,2929.47
12/7/2016,262,3139.16
12/8/2016,279,3291.35
12/9/2016,355,4077.74
12/10/2016,702,8031.75
12/11/2016,343,4214.93
12/12/2016,189,2161.38
12/13/2016,254,3026.57
12/14/2016,231,2961.04
12/15/2016,175,2199.39
12/16/2016,331,3694.69
12/17/2016,469,5540.6
12/18/2016,518,6212.43
12/19/2016,288,3383.97
12/20/2016,315,3839.81
12/21/2016,313,3965.3
12/22/2016,302,3805.02
12/23/2016,489,6058.82
12/24/2016,648,10217.69
12/25/2016,571,8535.34
12/26/2016,707,11204.36
12/27/2016,659,7958.54
12/28/2016,489,5625.97
12/29/2016,474,5795.31
12/30/2016,476,5480.58
12/31/2016,518,8158.75
1/1/2017,828,12894.99
1/2/2017,623,6975.98
1/3/2017,342,4080.38
1/4/2017,256,2958.22
1/5/2017,283,3271.36
1/6/2017,398,4954.88
1/7/2017,588,6885.36
1/8/2017,556,6789.24
1/9/2017,198,2429.35
1/10/2017,147,1765.22
1/11/2017,245,2851.03
1/12/2017,228,2714.59
1/13/2017,331,3912.85
1/14/2017,694,10500.48
1/15/2017,448,6843.77
1/16/2017,254,3099.71
1/17/2017,210,2771.92
1/18/2017,260,3348.91
1/19/2017,274,3712.9
1/20/2017,414,5610.16
1/21/2017,674,8886.87
1/22/2017,520,6670.21
1/23/2017,277,3203.66
1/24/2017,277,3362.42
1/25/2017,185,2408.91
1/26/2017,268,3785.8
1/27/2017,443,5831.21
1/28/2017,732,9161.14
1/29/2017,481,5916.02
1/30/2017,250,2939.67
1/31/2017,274,3337.56
2/1/2017,239,2907.31
2/2/2017,246,3496.44
2/3/2017,448,5299.22
2/4/2017,779,10014.98
2/5/2017,411,5651.53
2/6/2017,251,3360.84
2/7/2017,225,2640.64
2/8/2017,181,2298.07
2/9/2017,239,3294.59
2/10/2017,281,3903.34
2/11/2017,710,9515.42
2/12/2017,257,3525.24
2/13/2017,229,2997.81
2/14/2017,500,6334.77
2/15/2017,246,3333.04
2/16/2017,292,4044.57
2/17/2017,459,6417.28
2/18/2017,743,10800.99
2/19/2017,801,11800.33
2/20/2017,725,11582.27
2/21/2017,258,3074.25
2/22/2017,174,2313.08
2/23/2017,331,4448.12
2/24/2017,405,5716.9
2/25/2017,575,8342.98
2/26/2017,496,6202.59
2/27/2017,232,3198.24
2/28/2017,225,2838.65
3/1/2017,310,4385.37
3/2/2017,317,4417.9
3/3/2017,448,6586.29
3/4/2017,684,9507.65
3/5/2017,598,8699.71
3/6/2017,116,1371.13
3/7/2017,300,3538.68
3/8/2017,261,3716.15
3/9/2017,274,3299.6
3/10/2017,369,5404.68
3/11/2017,610,8868.44
3/12/2017,459,6621.79
3/13/2017,237,3132.32
3/14/2017,220,2615.29
3/15/2017,275,4049.12
3/16/2017,344,5194.33
3/17/2017,465,7100.85
3/18/2017,605,8900.22
3/19/2017,607,8812.73
3/20/2017,252,3639.2
3/21/2017,322,3673.81
3/22/2017,234,3234.49
3/23/2017,293,4429
3/24/2017,396,5661.15
3/25/2017,675,10271.19
3/26/2017,613,7958.88
3/27/2017,288,3402.92
3/28/2017,300,3731.75
3/29/2017,282,4066.18
3/30/2017,242,3447.83
3/31/2017,429,5938.89
4/1/2017,712,11068.13
4/2/2017,635,9054.77
4/3/2017,307,4007.06
4/4/2017,291,3574.96
4/5/2017,266,3866.49
4/6/2017,234,3271.59
4/7/2017,426,6323.86
4/8/2017,681,9447.74
4/9/2017,623,8768.41
4/10/2017,302,3386.01
4/11/2017,295,3637.88
4/12/2017,280,4019
4/13/2017,455,6300.32
4/14/2017,831,13809.69
4/15/2017,656,10113.32
4/16/2017,634,8650.89
4/17/2017,402,5605.02
4/18/2017,294,3617.1
4/19/2017,234,3485.56
4/20/2017,214,3090.08
4/21/2017,462,6198.83
